2012-09-05,,56,54,74300,308,188
2012-09-05,,56,54,74300,308,188
2012-09-05,,56,54,74300,308,188
2012-09-05,,15,2,18000,126,110
2012-09-05,,15,2,18000,126,110
2012-09-05,,92,11,40600,56,83
2012-09-05,,92,11,40600,56,83
2012-09-05,,92,11,40600,56,83
2012-09-05,,65,5,30400,78,53
2012-09-05,,65,5,30400,78,53
2012-09-05,,37,3,14600,11,52
2012-09-05,,47,26,7700,16,47
2012-09-05,,47,26,7700,16,47
2012-09-05,,12,24,3700,6,43
2012-09-05,,12,24,3700,6,43
2012-09-05,glavstart,15,12,5000,26,34
2012-09-05,,16,8,13500,75,29
2012-09-05,,16,8,13500,75,29
2012-09-05,,47,6,14700,305,25
2012-09-05,,47,6,14700,305,25
2012-09-05,,47,6,14700,305,25
2012-09-05,,39,8,21900,144,24
2012-09-05,,32,1,11700,226,23
2012-09-05,,26,10,24700,132,23
2012-09-05,,26,10,24700,132,23
2012-09-05,,26,10,24700,132,23
2012-09-05,,41,1,16100,22,23
2012-09-05,,41,1,16100,22,23
2012-09-05,,41,1,16100,22,23
2012-09-05,,10,13,3800,2,22
2012-09-05,,10,13,3800,2,22
2012-09-05,,10,13,3800,2,22
2012-09-05,,26,4,13200,210,21
2012-09-05,,21,2,18600,54,18
2012-09-05,,12,6,21500,155,16
2012-09-05,,12,6,21500,155,16
2012-09-05,,68,2,11900,151,16
2012-09-05,,68,2,11900,151,16
2012-09-05,,10,4,20500,82,16
2012-09-05,,9,3,3100,26,15
2012-09-05,,11,7,6700,54,14
2012-09-05,,11,7,6700,54,14
2012-09-05,,20,10,13300,10,14
2012-09-05,railsclub,19,1,2300,10,14
2012-09-05,railsclub,19,1,2300,10,14
2012-09-05,,15,1,9700,6,14
2012-09-05,,34,3,12300,112,12
2012-09-05,,34,3,12300,112,12
2012-09-05,,28,15,6600,106,12
2012-09-05,,2,0,1400,15,11
2012-09-05,,15,1,5800,83,9
2012-09-05,,15,1,5800,83,9
2012-09-05,,13,14,1800,10,6
2012-09-05,,13,14,1800,10,6
